Duration,Accuracy,Sample_Mean_Loss,Total_comm_time
37379,0.2044,2.22614,9.14169
74232,0.31132,2.04169,17.9494
113212,0.3651,1.87374,25.6233
149717,0.39816,1.74775,32.5665
187638,0.4234,1.64539,40.1387
224060,0.45118,1.55976,47.179
261261,0.47048,1.49306,54.7462
297920,0.49678,1.42687,61.8605
334469,0.51442,1.37407,69.4326
372181,0.5352,1.32124,76.4772
410169,0.54984,1.28312,84.1563
445890,0.56434,1.24146,91.6285
483338,0.57542,1.20727,99.176
519938,0.58684,1.17776,106.205
557862,0.59708,1.14735,113.702
