Duration,Accuracy,Sample_Mean_Loss
57665,0.2536,2.16991
104745,0.32572,2.03997
157024,0.3506,1.92378
204994,0.38744,1.79692
253843,0.42262,1.67363
304166,0.45562,1.55963
354002,0.48164,1.47637
403714,0.50566,1.40429
454820,0.52898,1.34047
503536,0.55214,1.2816
52666,0.25558,2.16073
105281,0.32498,2.01944
155849,0.35648,1.89338
206912,0.39178,1.76852
255388,0.4259,1.64828
305498,0.45814,1.54293
353517,0.48174,1.4611
403816,0.50432,1.39809
454774,0.52874,1.33516
501667,0.54392,1.28761
546551,0.56546,1.23521
593785,0.5772,1.1999
643547,0.59554,1.15568
693059,0.60642,1.11742
739127,0.61882,1.08839
787067,0.63068,1.05507
837480,0.63826,1.03399
888621,0.64988,1.00215
937993,0.65636,0.985116
984405,0.6679,0.957307
1030197,0.67338,0.935599
1078966,0.67816,0.926047
1135632,0.68604,0.898399
1188816,0.6948,0.882311
1241012,0.69786,0.867217
1292970,0.70402,0.854205
1343484,0.70928,0.841045
1390380,0.71858,0.816872
1440573,0.71996,0.805997
1485696,0.72126,0.799979
