Duration,Accuracy,Sample_Mean_Loss
36617,0.7491,1.64564
73097,0.882383,1.04891
107077,0.930617,0.571206
141727,0.950017,0.320428
175478,0.960533,0.216955
209303,0.966883,0.166924
243704,0.971367,0.137242
276399,0.974333,0.117643
311611,0.977117,0.10341
346458,0.979333,0.092323
381272,0.980933,0.0836947
415247,0.98255,0.0766752
450096,0.98365,0.0709713
485607,0.984917,0.0659167
520358,0.9857,0.0617199
554042,0.986383,0.0580689
588262,0.987567,0.0546153
623227,0.98855,0.0518101
657553,0.9891,0.0491268
690544,0.989717,0.0467289
