Duration,Accuracy,Sample_Mean_Loss
80308,0.698517,1.83337
161139,0.769367,1.44198
241544,0.893,0.745166
321278,0.948683,0.354348
400962,0.960817,0.220819
481640,0.96845,0.163237
561550,0.972667,0.13189
639738,0.9757,0.112032
718099,0.978717,0.0975948
801087,0.9804,0.0874312
885804,0.982383,0.0789203
967824,0.983717,0.0720664
1050546,0.985017,0.0663474
1137004,0.9857,0.0619827
1218698,0.986733,0.0577129
1297129,0.987383,0.0540262
1376942,0.9882,0.0510759
1463329,0.989,0.0482911
1547633,0.989433,0.0458073
1635851,0.98995,0.0435599
