Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
104386,0.25374,2.18561,0.3299,2.20983
197975,0.43002,1.71092,0.5113,1.39968
290853,0.57112,1.23283,0.6103,1.11076
383682,0.65286,0.990604,0.6636,0.962603
489439,0.70372,0.850806,0.6986,0.871394
584256,0.7415,0.755044,0.7105,0.829646
675574,0.766,0.687859,0.7228,0.791881
768699,0.78454,0.632752,0.7304,0.780354
873901,0.80084,0.586588,0.7396,0.7676
967884,0.81574,0.545753,0.7433,0.757898
1057872,0.82824,0.511585,0.7508,0.74451
1151147,0.84122,0.476437,0.7508,0.746738
1254610,0.85174,0.447787,0.7481,0.765135
1345470,0.8629,0.419984,0.7506,0.757227
1435643,0.87226,0.394982,0.7535,0.7645
