Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
101850,0.10454,2.30911,0.115,2.3016
208861,0.12928,2.30289,0.1226,2.3011
307329,0.1291,2.30247,0.1224,2.29971
403797,0.12198,2.29791,0.118,2.30486
511698,0.12384,2.3031,0.1187,2.32977
605281,0.12366,2.32064,0.1186,2.34076
691603,0.12364,2.34209,0.1176,2.35816
787416,0.12496,2.36363,0.1213,2.37251
902847,0.12946,2.37876,0.1287,2.3839
1007967,0.13608,2.38941,0.1406,2.39015
1115246,0.14744,2.38569,0.1549,2.37271
1219012,0.15782,2.36875,0.1613,2.35135
1334971,0.16662,2.35715,0.1733,2.34447
1433144,0.18192,2.33335,0.1896,2.32614
1527805,0.19338,2.31534,0.1963,2.30872
