Duration, Accuracy, Sample_Mean_loss, Total_comm_time
109551,0.30278,2.03798,40.3548
219207,0.3792,1.78796,83.8913
332427,0.45472,1.53996,128.778
440583,0.52504,1.33989,170.042
550226,0.58898,1.17021,213.161
659334,0.62704,1.06421,254.462
777434,0.65672,0.9862,304.613
892356,0.67752,0.926851,350.574
1013375,0.69776,0.866804,400.392
1128512,0.71532,0.821015,446.569
1238784,0.72536,0.793091,491.4
1345222,0.73536,0.765413,531.804
1458050,0.74926,0.726488,577.568
1568877,0.75954,0.696531,618.289
1680581,0.76616,0.675308,661.422
