Duration, Accuracy, Sample_Mean_loss, Total_comm_time
99488,0.33262,1.89248,10.7618
194304,0.47508,1.48576,20.2488
290461,0.56306,1.22795,30.3625
386533,0.62992,1.047,41.1914
483265,0.67402,0.928804,52.9205
579245,0.7102,0.831762,63.7538
675142,0.7374,0.759852,76.6855
771935,0.75462,0.708772,87.532
866478,0.77124,0.66173,97.9811
964227,0.7802,0.632701,108.894
1056756,0.79556,0.591982,120.059
1152404,0.80414,0.56371,130.426
1246957,0.81456,0.532577,144.853
1341217,0.82608,0.504327,156.511
1436569,0.83702,0.475058,166.11
