Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
34949,0.3217,1.89322,0.4418,1.56123
71278,0.54454,1.27696,0.5743,1.20771
107725,0.63864,1.0258,0.6318,1.03207
143684,0.69612,0.861831,0.6848,0.912246
179649,0.74152,0.735436,0.7096,0.84397
216573,0.78246,0.624266,0.7208,0.807124
253530,0.81796,0.525604,0.7323,0.784845
289782,0.85522,0.430161,0.7368,0.784899
325878,0.89138,0.338999,0.7397,0.805883
362123,0.9272,0.24878,0.7432,0.843919
398167,0.9577,0.169861,0.7433,0.907049
434458,0.98096,0.104392,0.7432,0.991062
470587,0.99302,0.0591384,0.7432,1.07296
507897,0.9982,0.0309382,0.7421,1.18238
547650,0.99962,0.0164235,0.7419,1.27115
