Duration, Accuracy, Sample_Mean_loss, Total_comm_time
35747,0.34832,1.82621,5.83601
72426,0.53674,1.29305,11.5923
108689,0.63068,1.04819,17.4072
144666,0.69082,0.881871,23.2602
181074,0.73416,0.755171,29.0503
218818,0.7734,0.644818,34.9627
255075,0.80674,0.552257,40.7558
291387,0.84426,0.453445,46.513
327204,0.88108,0.36059,52.2788
363191,0.9154,0.269704,58.0399
399246,0.94654,0.188047,63.8333
434463,0.97278,0.119039,69.6515
470862,0.9895,0.0662313,75.7691
507951,0.99758,0.0347571,81.7032
547361,0.9994,0.0180039,87.8319
