Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
73289,0.25532,2.12316,0.3515,2.08163
145527,0.41116,1.65757,0.466,1.5274
218145,0.50464,1.39036,0.5427,1.31106
290547,0.57344,1.21384,0.5919,1.17359
362843,0.62174,1.09153,0.6183,1.08422
435124,0.65332,1.00018,0.6516,1.00553
507467,0.67858,0.925782,0.6708,0.954889
579743,0.69938,0.865419,0.669,0.9388
653443,0.7189,0.814405,0.6916,0.882696
726429,0.73546,0.77249,0.6994,0.858181
799398,0.74862,0.735727,0.7054,0.840715
872618,0.7584,0.7049,0.7119,0.822456
945508,0.7702,0.674758,0.714,0.819917
1018001,0.77986,0.647192,0.725,0.798294
1090373,0.79004,0.621821,0.7274,0.790061
