Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
122095,0.24748,2.12395,0.3809,2.0484
233355,0.48648,1.43979,0.555,1.23188
352348,0.62014,1.07391,0.6434,0.996575
463318,0.6923,0.886118,0.6877,0.892864
582071,0.73362,0.770257,0.7129,0.831475
691737,0.76528,0.689596,0.7183,0.814558
808379,0.78624,0.630387,0.7367,0.776126
915840,0.80408,0.577301,0.7445,0.757253
1030532,0.81976,0.536501,0.7362,0.774137
1137203,0.83312,0.500115,0.7435,0.765539
1254017,0.84454,0.465731,0.7416,0.77707
1363437,0.85602,0.434968,0.7436,0.771056
1479494,0.866,0.407135,0.7466,0.777022
1588470,0.87644,0.380051,0.7476,0.786182
1701276,0.88672,0.355177,0.7459,0.80344
