Duration, Accuracy, Sample_Mean_loss, Total_comm_time
110599,0.29216,2.0527,43.2774
220186,0.38334,1.77392,85.2403
333375,0.45226,1.53776,130.054
441534,0.5322,1.32429,170.034
551366,0.58556,1.1789,213.302
660229,0.62702,1.06535,255.021
778346,0.65472,0.988775,303.824
893479,0.67786,0.924425,346.571
1014308,0.69534,0.873051,394.391
1129487,0.71502,0.824071,438.718
1239720,0.72638,0.789648,481.305
1346305,0.73904,0.752703,521.723
1458901,0.7498,0.723399,567.221
1569920,0.76084,0.692376,607.363
1681584,0.76474,0.682892,649.487
