Duration, Accuracy, Sample_Mean_loss, Total_comm_time
109809,0.34646,1.86554,37.3194
216267,0.484,1.45253,75.3355
324931,0.56614,1.23605,116.507
430317,0.62686,1.06854,153.226
545740,0.67604,0.932107,196.704
657338,0.7094,0.836761,235.166
779259,0.73364,0.763221,281.282
890058,0.75012,0.717049,320.383
999098,0.77038,0.660186,360.765
1104539,0.78418,0.62227,398.42
1215551,0.79866,0.580121,439.614
1327444,0.81124,0.55011,478.667
1438470,0.81878,0.525179,521.435
1546407,0.82568,0.50565,558.427
1653441,0.83352,0.479853,598.205
