Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
44985,0.21194,2.24062,0.2933,2.20948
89365,0.31684,2.05175,0.3352,1.97358
133674,0.3566,1.88342,0.3815,1.8139
177804,0.39642,1.73775,0.4207,1.67932
221921,0.43236,1.62535,0.4466,1.58286
266346,0.4616,1.53546,0.4664,1.51233
310660,0.48636,1.46174,0.492,1.43082
354768,0.50806,1.39722,0.5076,1.37343
398927,0.5257,1.34754,0.5313,1.32975
443532,0.5459,1.29668,0.5357,1.2979
488158,0.5594,1.25799,0.561,1.25021
532590,0.57736,1.21557,0.5744,1.21827
576514,0.58582,1.18503,0.5776,1.19973
620837,0.60056,1.14793,0.5986,1.16099
665135,0.60782,1.12236,0.6046,1.14433
