Duration,Accuracy,Sample_Mean_Loss,Test_Accuracy,Test_Mean_loss
22472,0.35068,1.84603,0.4391,1.65358
45357,0.38692,1.78176,0.4563,1.535
68068,0.4897,1.43475,0.508,1.37054
90886,0.5297,1.33658,0.5213,1.3313
113689,0.5555,1.25704,0.5603,1.2371
136447,0.58128,1.19096,0.5301,1.34168
159330,0.59708,1.15341,0.5928,1.14648
183068,0.61252,1.10623,0.6128,1.09863
206437,0.63332,1.05341,0.5986,1.12789
229904,0.64618,1.01169,0.6409,1.03064
252979,0.657,0.983109,0.6402,1.02929
275787,0.67172,0.941766,0.6339,1.04451
298679,0.68698,0.907538,0.6536,0.993834
321491,0.69336,0.885471,0.6504,1.00086
344544,0.70384,0.847987,0.659,0.982347
