Duration,Accuracy,Sample_Mean_Loss,Test_Accuracy,Test_Mean_loss 
22148,0.3878,1.70852,0.4983,1.44609
44769,0.3877,1.79281,0.4944,1.40673
67355,0.5242,1.33454,0.5609,1.24101
90472,0.57628,1.20468,0.5979,1.14711
113793,0.61234,1.10527,0.6118,1.10156
137750,0.64206,1.02384,0.6401,1.03562
160453,0.67014,0.945941,0.6455,0.99927
183860,0.69056,0.886602,0.6645,0.965051
207170,0.71346,0.826368,0.6681,0.959303
230841,0.72986,0.777328,0.6878,0.901147
255443,0.74696,0.726377,0.6901,0.89693
278784,0.76924,0.671781,0.6957,0.883347
302593,0.78416,0.624337,0.7004,0.875315
326213,0.79566,0.587072,0.7053,0.867284
349308,0.80856,0.555188,0.701,0.887065
