Duration,Accuracy,Sample_Mean_Loss,Testing_accuracy,Testing_Mean_Loss
38942,0.729167,1.33214,0.9577,1.07448
76732,0.975,0.115507,0.9842,0.0630753
114587,0.988067,0.0480723,0.9876,0.0441882
153462,0.992567,0.0323834,0.9902,0.0338785
192543,0.994467,0.0242659,0.9907,0.0312582
230616,0.995967,0.0186829,0.991,0.0285981
268251,0.99705,0.0149863,0.9914,0.0277131
306750,0.9982,0.0118483,0.9913,0.0269991
344363,0.998917,0.00957204,0.9916,0.0257648
382683,0.999267,0.00780113,0.9921,0.0255656
38473,0.74435,1.26664,0.9643,0.992939
76215,0.978117,0.100091,0.9852,0.0550522
114621,0.989067,0.0447991,0.9896,0.0398124
153830,0.99305,0.0305309,0.991,0.0337805
193332,0.9948,0.0229742,0.9905,0.030878
231904,0.9964,0.0176622,0.991,0.0283548
270774,0.997667,0.0139187,0.9917,0.0267948
310821,0.9983,0.0112878,0.9911,0.0273073
349036,0.998767,0.00916535,0.9916,0.0260912
389267,0.9993,0.00744091,0.9915,0.0261069
