Duration,Accuracy,Sample_Mean_loss,Total_comm_time
39857,0.85285,0.742503,8.10441
77679,0.974683,0.103976,15.6911
115526,0.986733,0.0523234,23.5032
154401,0.991183,0.0364539,31.9442
193368,0.993217,0.0281811,39.6041
231379,0.995,0.02235,47.9075
269148,0.996133,0.0180653,55.5734
307623,0.99715,0.0145971,63.9037
345283,0.998167,0.0118654,71.516
383447,0.9986,0.00979916,79.5185
39178,0.858217,0.724632,8.15877
77214,0.97735,0.093488,15.8152
115425,0.987883,0.0487592,23.812
154851,0.9913,0.0347499,32.7482
194316,0.9937,0.0263236,41.8138
232841,0.99545,0.0207613,49.9519
271731,0.99635,0.0166181,57.5863
311682,0.997617,0.0132723,65.9398
349857,0.998333,0.0110566,73.4889
389819,0.9987,0.00912584,82.1654
